ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 6, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 11, 13, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 11, 15, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 11, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 11, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 11, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 11, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 11, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 11, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 11, 14, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 11, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 11, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 11, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 11, 15, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 11, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 11, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 11, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 11, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 11, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 11, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 11, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 11, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 11, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 11, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 11, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 11, 20, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 11, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 11, 18, 15, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Super Mario Galaxy Movie', time=datetime.datetime(2026, 6, 11, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 12, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 12, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 12, 20, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 12, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 12, 18, 15, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
